slug,maker,models,group,element,gr_target_db,marking,phase,time_ms,gr_db
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,2000.0,2.6655482481431356
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,5.0,2.6749681895189035
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,50.0,2.6728055970311058
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,500.0,2.6719677726059157
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,6.0,as_set,release,5000.0,2.5078894806855807
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,0.1,5.2475915520427705
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,0.2,6.029138241805283
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,0.5,4.0478154548951775
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,1.0,5.1589170149399415
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,10.0,5.901113315048665
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,100.0,6.03973262234021
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,1000.0,6.039679800412429
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,2.0,5.213181868508055
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,20.0,6.027347427494702
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,200.0,6.039703805732387
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,2000.0,5.425620210858913
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,5.0,5.541845373901419
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,50.0,6.039759257574467
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,500.0,6.039686338218456
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",attack,5000.0,4.186613910126336
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,0.1,3.7249512140642693
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,0.2,4.571211465487146
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,0.5,4.966510641456727
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,1.0,4.772526746905086
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,10.0,4.237407245267406
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,100.0,4.223571522068159
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,1000.0,4.221990439771069
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,2.0,4.311568462564772
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,20.0,4.2296881103366175
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,200.0,4.22279895429808
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,2000.0,4.220597391134332
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,5.0,4.252954580163916
aw_pressure5,Airwindows,peak compressor,aw-comp,digital,10.0,"speed=('raw', 0.0)",release,50.0,4.225097533704867
