slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,250.0,-3.0,0.10802807332213375,96,-59.62745704433169,-71.47406494584158,-86.10008548290509,-84.85172397322019,-101.36870426336344,-93.84422723964057,-111.20337267432706
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,2500.0,-12.0,0.041130323784059786,9,-68.0607642696775,-79.04665541411975,-102.7248430132332,-94.69760777098217,-120.08518662273048,-104.62259108325591,-123.38328742137348
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,2500.0,-3.0,0.09386838452041747,9,-60.84630095969469,-72.66983542850596,-87.99451925841996,-86.51184096330167,-103.83435538545123,-96.127020895334,-117.51728241442571
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,31.5,-12.0,0.04951972944435382,762,-66.44969642269044,-77.4538327258825,-100.47374873482106,-92.17647642123752,-108.4689485849246,-102.78913334758721,-113.07898026298987
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,31.5,-3.0,0.11107786904910083,762,-59.38444461244397,-71.25685811494726,-85.96554350861949,-84.40560289346112,-99.63848935832942,-93.86051904399274,-111.53526165819812
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,315.0,-12.0,0.046173965079907175,76,-67.06126126245526,-77.99196933773443,-101.30335990868025,-93.3268674720671,-118.37711963792822,-102.73670613677959,-129.05397482083416
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,315.0,-3.0,0.10424146499371942,76,-59.93853397395681,-71.75974928609202,-86.55365332458712,-85.20011567808274,-101.7307220560308,-94.13611154699781,-112.21052520386101
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,3150.0,-12.0,0.04105043719339618,7,-68.0740500918156,-79.09813396778921,-103.10328640288509,-95.08166003835528,-117.56054462776893,-104.5650998953852,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,3150.0,-3.0,0.0936752436528396,7,-60.85995161719937,-72.72997844027746,-88.20037858219584,-86.88765629276955,-104.06218508112738,-96.76817835243,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,40.0,-12.0,0.05022413880136202,595,-66.32838674386062,-77.30350783941255,-100.44475740422934,-92.30591275570937,-111.72785471308674,-102.35219970155669,-117.58158597477993
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,40.0,-3.0,0.1125198861645788,595,-59.272348114138,-71.14686141526403,-85.70652631600171,-84.38104605220126,-100.11853347920807,-93.55827041389497,-111.82345120463296
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,400.0,-12.0,0.044444160449954494,60,-67.39369947766657,-78.31275809258601,-101.79525972077066,-93.66967749650368,-118.91441837021918,-103.07400500648667,-129.69542709366033
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,400.0,-3.0,0.1006917140451011,60,-60.24071486442209,-72.03585847172137,-86.99446026161651,-85.52256995161295,-102.22569127097287,-94.47341350935392,-112.74390050965984
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,4000.0,-12.0,0.04085084371345255,6,-68.10654742342018,-79.22746648106916,-103.54440873933036,-96.2584157078872,-115.13657253123009,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,4000.0,-3.0,0.09319783621060701,6,-60.89431068054022,-72.86970222805483,-88.60486484469801,-87.89364859095912,-104.04133597387805,,
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,50.0,-12.0,0.05100390552163544,481,-66.21033697584524,-76.99038652221458,-100.23482208472501,-91.88432561254757,-115.90499959072253,-100.7623748511021,-120.96995695770727
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,50.0,-3.0,0.11407014490471745,481,-59.15936019985459,-70.95090307171876,-85.48895874943324,-84.13512930308941,-100.75548036854676,-92.83533428186189,-111.5390204518569
nls_spike,Waves,EMI TG12345 console channel,console-emi,drive_0,full,,500.0,-12.0,0.043146012707218094,47,-67.65154869950909,-78.56480777310057,-102.34224499347691,-93.87153028769805,-117.79365041664889,-103.7612317674986,-147.30756785120928
