slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-12.0,-12.774,-0.774,10.015
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-15.0,-13.973,1.027,8.214
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-18.0,-15.183,2.817,6.424
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-21.0,-16.412,4.588,4.653
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-24.0,-17.676,6.324,2.917
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-27.0,-19.02,7.98,1.261
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-3.0,-9.215,-6.215,15.456
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-30.0,-20.87,9.13,0.111
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-36.0,-26.807,9.193,0.048
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-42.0,-32.804,9.196,0.045
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-48.0,-38.774,9.226,0.015
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-54.0,-44.759,9.241,0.0
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-6.0,-10.397,-4.397,13.638
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,-9.0,-11.583,-2.583,11.824
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,10.0,0.0,-8.037,-8.037,17.278
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,-12.0,-13.835,-1.835,11.386
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,-15.0,-15.028,-0.028,9.579
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,-18.0,-16.229,1.771,7.78
api_vision_comp,UAD,API 527 channel compressor,vca-api,vca,15.0,-21.0,-17.444,3.556,5.995
